"wals.code"	"name"	"value"	"description"	"latitude"	"longitude"	"genus"	"family"	"area"	"macroarea"
"tsg"	"Tausug"	1	"No tones"	6	121	"Greater Central Philippine"	"Austronesian"	"Phonology"	"Papunesia"
"teh"	"Tehuelche"	1	"No tones"	-48	-68	"Chon Proper"	"Chon"	"Phonology"	"South America"
"tks"	"Teke (Southern)"	2	"Simple tone system"	-2.33333333333	14.5	"Bantoid"	"Niger-Congo"	"Phonology"	"Africa"
"tel"	"Telugu"	1	"No tones"	16	79	"South-Central Dravidian"	"Dravidian"	"Phonology"	"Eurasia"
"tmn"	"Temein"	2	"Simple tone system"	11.9166666667	29.4166666667	"Temein"	"Eastern Sudanic"	"Phonology"	"Africa"
"tne"	"Temne"	2	"Simple tone system"	8.66666666667	-13.0833333333	"Mel"	"Niger-Congo"	"Phonology"	"Africa"
"ter"	"Tera"	3	"Complex tone system"	11	11.8333333333	"Biu-Mandara"	"Afro-Asiatic"	"Phonology"	"Africa"
"ttn"	"Tetun"	1	"No tones"	-9	126	"Central Malayo-Polynesian"	"Austronesian"	"Phonology"	"Papunesia"
"tha"	"Thai"	3	"Complex tone system"	16	101	"Kam-Tai"	"Tai-Kadai"	"Phonology"	"Eurasia"
"tib"	"Tibetan (Standard Spoken)"	2	"Simple tone system"	30	91	"Bodic"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"tic"	"Ticuna"	3	"Complex tone system"	-4	-70.5	"Ticuna"	"Ticuna"	"Phonology"	"South America"
"tgk"	"Tigak"	1	"No tones"	-2.71666666667	150.8	"Oceanic"	"Austronesian"	"Phonology"	"Papunesia"
"tgr"	"Tigré"	1	"No tones"	16.5	38.5	"Semitic"	"Afro-Asiatic"	"Phonology"	"Africa"
"try"	"Tiruray"	1	"No tones"	6.75	124.166666667	"Bilic"	"Austronesian"	"Phonology"	"Papunesia"
"twn"	"Tiwa (Northern)"	2	"Simple tone system"	36.5	-105.5	"Kiowa-Tanoan"	"Kiowa-Tanoan"	"Phonology"	"North America"
"tiw"	"Tiwi"	1	"No tones"	-11.5	131	"Tiwian"	"Tiwian"	"Phonology"	"Australia"
"tlp"	"Tlapanec"	3	"Complex tone system"	17.0833333333	-99	"Subtiaba-Tlapanec"	"Oto-Manguean"	"Phonology"	"North America"
"tli"	"Tlingit"	2	"Simple tone system"	59	-135	"Tlingit"	"Na-Dene"	"Phonology"	"North America"
"toa"	"Toaripi"	1	"No tones"	-8.33333333333	146.25	"Eleman Proper"	"Eleman"	"Phonology"	"Papunesia"
"tol"	"Tol"	1	"No tones"	14.6666666667	-87	"Tol"	"Tol"	"Phonology"	"North America"
"ton"	"Tonkawa"	1	"No tones"	30.25	-96.75	"Tonkawa"	"Tonkawa"	"Phonology"	"North America"
"dts"	"Toro So"	2	"Simple tone system"	14.4166666667	-3.25	"Dogon"	"Dogon"	"Phonology"	"Africa"
"tpa"	"Totonac (Papantla)"	1	"No tones"	20.3333333333	-97.3333333333	"Totonacan"	"Totonacan"	"Phonology"	"North America"
"tru"	"Trumai"	1	"No tones"	-11.9166666667	-53.5833333333	"Trumai"	"Trumai"	"Phonology"	"South America"
"tsi"	"Tsimshian (Coast)"	1	"No tones"	52.5	-129	"Tsimshianic"	"Penutian"	"Phonology"	"North America"
"tso"	"Tsou"	1	"No tones"	23.5	120.75	"Tsou"	"Austronesian"	"Phonology"	"Papunesia"
"ttu"	"Tsova-Tush"	1	"No tones"	42.5	45.5	"Nakh"	"Nakh-Daghestanian"	"Phonology"	"Eurasia"
"tug"	"Tuareg (Ahaggar)"	1	"No tones"	23	6	"Berber"	"Afro-Asiatic"	"Phonology"	"Africa"
"tuk"	"Tukang Besi"	1	"No tones"	-5.5	123.5	"Celebic"	"Austronesian"	"Phonology"	"Papunesia"
"tul"	"Tulu"	1	"No tones"	12.75	75.3333333333	"Southern Dravidian"	"Dravidian"	"Phonology"	"Eurasia"
"tur"	"Turkish"	1	"No tones"	39	35	"Turkic"	"Altaic"	"Phonology"	"Eurasia"
"tuv"	"Tuvan"	1	"No tones"	52	95	"Turkic"	"Altaic"	"Phonology"	"Eurasia"
"tza"	"Tzeltal (Aguacatenango)"	1	"No tones"	16.4166666667	-92.5	"Mayan"	"Mayan"	"Phonology"	"North America"
"umb"	"UMbundu"	2	"Simple tone system"	-12.5	15	"Bantoid"	"Niger-Congo"	"Phonology"	"Africa"
"una"	"Una"	2	"Simple tone system"	-4.66666666667	140	"Mek"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"ung"	"Ungarinjin"	1	"No tones"	-16.3333333333	126	"Worrorran"	"Worrorran"	"Phonology"	"Australia"
"urk"	"Urubú-Kaapor"	1	"No tones"	-2.33333333333	-46.5	"Tupi-Guaraní"	"Tupian"	"Phonology"	"South America"
"usa"	"Usan"	1	"No tones"	-4.83333333333	145.166666667	"Madang"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"uzn"	"Uzbek (Northern)"	1	"No tones"	40.6666666667	66.5	"Turkic"	"Altaic"	"Phonology"	"Eurasia"
"vie"	"Vietnamese"	3	"Complex tone system"	10.5	106.5	"Viet-Muong"	"Austro-Asiatic"	"Phonology"	"Eurasia"
"wah"	"Wahgi"	2	"Simple tone system"	-5.83333333333	144.716666667	"Chimbu"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"bno"	"Waimaha"	2	"Simple tone system"	0.333333333333	-70.25	"Tucanoan"	"Tucanoan"	"Phonology"	"South America"
"wam"	"Wambaya"	1	"No tones"	-18.6666666667	135.75	"Wambayan"	"Mirndi"	"Phonology"	"Australia"
"wnt"	"Wantoat"	1	"No tones"	-6.16666666667	146.5	"Finisterre-Huon"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"wao"	"Waorani"	1	"No tones"	-1	-76.5	"Waorani"	"Waorani"	"Phonology"	"South America"
"wps"	"Wapishana"	1	"No tones"	2.66666666667	-60	"Wapishanan"	"Arawakan"	"Phonology"	"South America"
"wap"	"Wappo"	1	"No tones"	38.5	-122.5	"Wappo"	"Wappo-Yukian"	"Phonology"	"North America"
"wra"	"Warao"	1	"No tones"	9.33333333333	-61.6666666667	"Warao"	"Warao"	"Phonology"	"South America"
"wry"	"Waray (in Australia)"	1	"No tones"	-13.1666666667	131.25	"Warayic"	"Gunwinyguan"	"Phonology"	"Australia"
"wrd"	"Wardaman"	1	"No tones"	-15.5	131	"Yangmanic"	"Yangmanic"	"Phonology"	"Australia"
"war"	"Wari'"	1	"No tones"	-11.3333333333	-65	"Chapacura-Wanham"	"Chapacura-Wanham"	"Phonology"	"South America"
"wma"	"West Makian"	1	"No tones"	0.5	127.583333333	"North Halmaheran"	"West Papuan"	"Phonology"	"Papunesia"
"wdo"	"Western Desert (Ooldea)"	1	"No tones"	-30.5	132	"Western Pama-Nyungan"	"Pama-Nyungan"	"Phonology"	"Australia"
"wic"	"Wichita"	1	"No tones"	33.3333333333	-97.3333333333	"Caddoan"	"Caddoan"	"Phonology"	"North America"
"wch"	"Wichí"	1	"No tones"	-22.5	-62.5833333333	"Matacoan"	"Matacoan"	"Phonology"	"South America"
"wmu"	"Wik Munkan"	1	"No tones"	-13.9166666667	141.75	"Northern Pama-Nyungan"	"Pama-Nyungan"	"Phonology"	"Australia"
"win"	"Wintu"	1	"No tones"	41	-122.5	"Wintuan"	"Penutian"	"Phonology"	"North America"
"wiy"	"Wiyot"	1	"No tones"	40.8333333333	-124.166666667	"Wiyot"	"Algic"	"Phonology"	"North America"
"woi"	"Woisika"	1	"No tones"	-8.25	124.833333333	"Greater Alor"	"Timor-Alor-Pantar"	"Phonology"	"Papunesia"
"wlf"	"Wolof"	1	"No tones"	15.25	-16	"Wolof"	"Niger-Congo"	"Phonology"	"Africa"
"wuc"	"Wu"	3	"Complex tone system"	31.6666666667	119.916666667	"Chinese"	"Sino-Tibetan"	"Phonology"	"Eurasia"
"ygr"	"Yagaria"	2	"Simple tone system"	-6.33333333333	145.416666667	"Eastern Highlands"	"Trans-New Guinea"	"Phonology"	"Papunesia"
"yag"	"Yagua"	2	"Simple tone system"	-3.5	-72	"Peba-Yaguan"	"Peba-Yaguan"	"Phonology"	"South America"
"ykt"	"Yakut"	1	"No tones"	62	130	"Turkic"	"Altaic"	"Phonology"	"Eurasia"
"yan"	"Yana"	1	"No tones"	40.5	-122	"Yana"	"Hokan"	"Phonology"	"North America"
"yny"	"Yanyuwa"	1	"No tones"	-16.4166666667	137.166666667	"Western Pama-Nyungan"	"Pama-Nyungan"	"Phonology"	"Australia"
"yap"	"Yapese"	1	"No tones"	9.58333333333	138.166666667	"Yapese"	"Austronesian"	"Phonology"	"Papunesia"
"yaq"	"Yaqui"	2	"Simple tone system"	27.5	-110.25	"Cahita"	"Uto-Aztecan"	"Phonology"	"North America"
"yar"	"Yareba"	1	"No tones"	-9.5	148.5	"Yareban"	"Yareban"	"Phonology"	"Papunesia"
"yaw"	"Yawa"	1	"No tones"	-1.75	136.25	"Yawa"	"Yawa"	"Phonology"	"Papunesia"
"yay"	"Yay"	3	"Complex tone system"	22.4166666667	104.75	"Kam-Tai"	"Tai-Kadai"	"Phonology"	"Eurasia"
"yel"	"Yelî Dnye"	1	"No tones"	-11.3666666667	154.166666667	"Yele"	"Yele"	"Phonology"	"Papunesia"
"yes"	"Yessan-Mayo"	1	"No tones"	-4.16666666667	142.583333333	"Tama Sepik"	"Sepik"	"Phonology"	"Papunesia"
"yey"	"Yeyi"	2	"Simple tone system"	-20	23.5	"Bantoid"	"Niger-Congo"	"Phonology"	"Africa"
"yid"	"Yidiny"	1	"No tones"	-17	145.75	"Northern Pama-Nyungan"	"Pama-Nyungan"	"Phonology"	"Australia"
"yim"	"Yimas"	1	"No tones"	-4.66666666667	143.55	"Lower Sepik"	"Lower Sepik-Ramu"	"Phonology"	"Papunesia"
"yor"	"Yoruba"	3	"Complex tone system"	8	4.33333333333	"Defoid"	"Niger-Congo"	"Phonology"	"Africa"
"yct"	"Yucatec"	2	"Simple tone system"	20	-89	"Mayan"	"Mayan"	"Phonology"	"North America"
"yuc"	"Yuchi"	1	"No tones"	35.75	-86.75	"Yuchi"	"Yuchi"	"Phonology"	"North America"
"ycn"	"Yucuna"	1	"No tones"	-0.75	-71	"Inland Northern Arawakan"	"Arawakan"	"Phonology"	"South America"
"yko"	"Yukaghir (Kolyma)"	1	"No tones"	65.75	150.833333333	"Yukaghir"	"Yukaghir"	"Phonology"	"Eurasia"
"ytu"	"Yukaghir (Tundra)"	1	"No tones"	69	155	"Yukaghir"	"Yukaghir"	"Phonology"	"Eurasia"
"yul"	"Yulu"	3	"Complex tone system"	8.5	25.25	"Bongo-Bagirmi"	"Central Sudanic"	"Phonology"	"Africa"
"yus"	"Yupik (Siberian)"	1	"No tones"	65	-173	"Eskimo"	"Eskimo-Aleut"	"Phonology"	"Eurasia"
"yur"	"Yurok"	1	"No tones"	41.3333333333	-124	"Yurok"	"Algic"	"Phonology"	"North America"
"zan"	"Zande"	2	"Simple tone system"	4	26	"Ubangi"	"Niger-Congo"	"Phonology"	"Africa"
"zqc"	"Zoque (Copainalá)"	1	"No tones"	17	-93.25	"Mixe-Zoque"	"Mixe-Zoque"	"Phonology"	"North America"
"zul"	"Zulu"	2	"Simple tone system"	-30	30	"Bantoid"	"Niger-Congo"	"Phonology"	"Africa"
"zun"	"Zuni"	1	"No tones"	35.0833333333	-108.833333333	"Zuni"	"Zuni"	"Phonology"	"North America"
